Price inr,Year,Kilometer,Engine,Length,Width,Height,Fuel Tank Capacity,Max_Power,Max_Torque,priceUSD,0.012
220000,2010,62000,998,3600,1475,1595,35,67,90,2640,
220000,2012,54000,998,3539,1475,1700,35,68,90,2640,
220000,2011,67000,1197,3585,1595,1550,35,79,112.7619,2640,
225000,2012,56000,814,3495,1550,1500,32,55,75,2700,
225000,2012,57000,998,3539,1475,1700,35,59,77,2700,
225000,2013,87000,1399,3795,1680,1427,45,68,160,2700,
225000,2014,47721,1086,3585,1595,1550,35,68,99.08,2700,
225000,2012,26000,1086,3585,1595,1550,35,68,99.08,2700,
225000,2012,69000,1598,4000,1642,1522,45,105,153,2700,
225000,2009,140000,1991,4800,1832,1485,70,142,323,2700,
227000,2011,87513,796,3495,1475,1460,35,47,62,2724,
229999,2011,41215,936,3640,1595,1520,35,58,150,2759.988,
229999,2012,52000,998,3600,1495,1595,35,67,90,2759.988,
234000,2013,72600,998,3620,1475,1460,35,67,90,2808,
235000,2012,35000,998,3595,1475,1700,28,46,85,2820,
235000,2009,107000,1086,3565,1595,1550,35,67,99,2820,
235000,2014,82000,1399,3795,1680,1427,45,68,160,2820,
235000,2012,37000,998,3539,1495,1700,35,68,90,2820,
235000,2011,135000,1582,4370,1700,1475,43,126,260,2820,
240000,2017,42000,1198,3785,1635,1485,35,67,104,2880,
240000,2013,64000,998,3515,1500,1510,32,68,94,2880,
240000,2010,72000,1399,3795,1680,1427,45,69,160,2880,
240000,2013,73000,1196,3795,1680,1427,45,70,102,2880,
240000,2013,51500,1493,3985,1850,1880,55,100,240,2880,
245000,2016,55000,796,3395,1490,1475,35,47,69,2940,
245000,2015,72000,796,3395,1490,1475,35,47,69,2940,
245000,2016,64000,998,3545,1490,1475,35,67,90,2940,
245000,2014,31100,998,3620,1475,1460,35,67,90,2940,
245000,2014,79000,1197,3775,1680,1620,43,85,113,2940,
245000,2010,95000,1497,4420,1695,1480,42,118,146,2940,
249000,2014,56843,796,3395,1490,1475,35,47,69,2988,
249000,2013,60000,1493,3985,1850,1880,55,100,240,2988,
250000,2015,62000,796,3395,1490,1475,35,47,69,3000,
250000,2017,32000,799,3679,1579,1478,28,53,72,3000,
250000,2014,25000,814,3495,1550,1500,32,55,75,3000,
250000,2013,82461,814,3495,1550,1500,32,55,75,3000,
250000,2018,25000,999,3429,1560,1541,28,67,91,3000,
250000,2014,114000,998,3620,1475,1460,35,67,90,3000,
250000,2012,48568,1086,3585,1595,1550,35,68,99.08,3000,
250000,2012,68000,998,3539,1495,1700,35,68,90,3000,
250000,2012,54556,1197,3585,1595,1550,35,79,112.7619,3000,
250000,2011,53000,1197,3585,1595,1550,35,79,112.7619,3000,
250000,2011,64000,1197,3585,1595,1550,35,79,112.7619,3000,
250000,2017,132683,1498,4440,1695,1495,40,99,200,3000,
250000,2011,55000,1497,4420,1695,1480,42,118,146,3000,
250000,2009,110000,1497,4420,1695,1480,42,118,146,3000,
250000,2009,72256,1497,4420,1695,1480,42,118,146,3000,
250000,2006,119300,2354,4630,1780,1710,58,152,215,3000,
250999,2011,98000,2179,4421,1780,1940,65,120,250,3011.988,
254999,2016,57159,799,3679,1579,1478,28,53,72,3059.988,
254999,2012,17000,1086,3565,1525,1590,35,62,96,3059.988,
254999,2012,18954,1086,3585,1595,1550,35,68,99.081,3059.988,
260000,2013,89000,998,3539,1475,1700,35,59,77,3120,
260000,2015,25862,998,3600,1600,1560,35,67,90,3120,
260000,2012,54000,998,3620,1475,1460,35,67,90,3120,
260000,2011,90000,1248,3995,1695,1555,42,74,190,3120,
265000,2017,52100,796,3395,1490,1475,35,47,69,3180,
265000,2017,30000,796,3395,1490,1475,35,47,69,3180,
265000,2016,122000,999,3679,1579,1478,28,67,91,3180,
265000,2011,41000,998,3539,1475,1700,35,68,90,3180,
265000,2011,66000,1496,4265,1695,1510,45,80,132,3180,
269000,2009,85000,1497,4420,1695,1480,42,118,146,3228,
269000,2010,73000,1497,4420,1695,1480,42,118,146,3228,
270000,2017,27000,1198,3785,1635,1485,35,67,104,3240,
270000,2014,54420,998,3620,1475,1460,35,67,90,3240,
270000,2014,82682,998,3620,1475,1460,35,67,90,3240,
270000,2015,64000,1196,3795,1680,1427,45,70,102,3240,
270000,2012,41200,1197,3585,1595,1550,35,79,112.7619,3240,
275000,2011,42000,998,3595,1475,1700,28,46,85,3300,
275000,2013,34000,814,3495,1550,1500,32,55,75,3300,
275000,2014,83000,814,3495,1550,1500,32,55,75,3300,
275000,2013,76000,1086,3565,1525,1590,35,62,96,3300,
275000,2012,30000,998,3515,1500,1510,32,68,94,3300,
275000,2013,85785,1248,3775,1680,1620,43,73,190,3300,
275000,2011,65000,1248,3995,1695,1555,42,74,190,3300,
275000,2011,42000,1197,3585,1595,1550,35,79,112.7619,3300,
275000,2009,80000,1497,4420,1695,1480,42,118,146,3300,
280000,2018,48000,796,3395,1490,1475,35,47,69,3360,
280000,2011,54000,998,3539,1475,1700,35,59,77,3360,
280000,2011,69276,998,3620,1475,1460,35,67,90,3360,
280000,2013,99000,1461,4315,1822,1695,50,84,200,3360,
285000,2017,45600,796,3395,1490,1475,35,47,69,3420,
285000,2016,22346,796,3395,1490,1475,35,47,69,3420,
285000,2016,17000,796,3395,1490,1475,35,47,69,3420,
285000,2011,52000,998,3539,1475,1700,35,59,77,3420,
285000,2013,25200,998,3539,1475,1700,35,68,90,3420,
285000,2013,72000,1498,3999,1765,1708,52,89,204,3420,
286000,2017,40564,796,3395,1490,1475,35,47,69,3432,
289000,2015,78000,796,3395,1490,1475,35,47,69,3468,
290000,2018,70000,814,3495,1550,1500,32,55,75,3480,
290000,2012,12300,998,3539,1475,1700,35,68,90,3480,
290000,2011,91000,1197,3585,1595,1550,35,79,112.7619,3480,
295000,2016,34736,999,3679,1579,1478,28,67,91,3540,
295000,2015,31000,998,3545,1490,1475,35,67,90,3540,
295000,2013,74000,1498,4291,1722,1496,43,89,204,3540,
295000,2014,62500,1498,3990,1680,1505,35,99,200,3540,
295000,2009,70200,1497,4420,1695,1480,42,118,146,3540,
295000,2010,78000,1497,4420,1695,1480,42,118,146,3540,
297000,2013,84000,1248,4490,1735,1560,50,89,200,3564,
299000,2017,65822,793,3600,1600,1560,35,46,125,3588,
299000,2017,45000,796,3395,1490,1475,35,48,69,3588,
299000,2015,92000,998,3599,1495,1700,35,58,77,3588,
299000,2016,26000,999,3679,1579,1478,28,67,91,3588,
299000,2018,19000,999,3679,1579,1478,28,67,91,3588,
299000,2013,46000,998,3636,1475,1670,35,67,90,3588,
299000,2013,90000,1364,4265,1695,1510,45,68,170,3588,
299000,2013,64983,1399,3795,1680,1427,45,68,160,3588,
299000,2013,47000,1197,3850,1695,1530,42,85,114,3588,
299000,2014,32000,1199,4249,1690,1503,42,85,113,3588,
300000,2018,51000,814,3495,1550,1500,32,55,75,3600,
300000,2013,75000,1364,4265,1695,1510,45,68,170,3600,
300000,2011,49200,1496,4265,1695,1510,45,80,132,3600,
300000,2014,40000,1197,3995,1710,1505,45,83,113.796,3600,
300000,2010,83359,1799,4545,1750,1450,50,130,171.62,3600,
301000,2011,28513,1197,3850,1695,1530,42,85,114,3612,
305000,2018,34800,799,3679,1579,1478,28,53,72,3660,
310000,2014,82000,998,3599,1495,1700,35,58,77,3720,
310000,2015,67738,998,3599,1495,1700,35,58,77,3720,
310000,2015,45000,998,3599,1495,1700,35,67,90,3720,
310000,2014,49000,1198,3610,1680,1500,35,87,109,3720,
310000,2011,26000,1396,3940,1710,1505,45,100,137,3720,
315000,2017,15507,799,3679,1579,1478,28,53,72,3780,
315000,2017,15507,799,3679,1579,1478,28,53,72,3780,
315000,2013,72000,998,3539,1475,1700,35,59,77,3780,
315000,2013,45000,998,3515,1500,1510,32,68,94,3780,
315000,2012,75000,1197,3585,1595,1550,35,79,112.7619,3780,
315000,2011,38091,1197,3775,1695,1510,45,80,104,3780,
315000,2012,57000,1498,4425,1695,1505,41,98,134,3780,
319000,2013,47800,796,3395,1490,1475,35,47,69,3828,
319000,2018,89059,799,3679,1579,1478,28,53,72,3828,
320000,2016,64000,799,3679,1579,1478,28,53,72,3840,
320000,2018,42313,999,3429,1560,1541,28,67,91,3840,
320000,2014,54000,998,3620,1475,1460,35,67,90,3840,
320000,2015,64000,1196,3675,1475,1800,40,73,101,3840,
320000,2011,75000,1991,4597,1788,1477,60,150,327,3840,
325000,2017,56000,814,3495,1550,1500,32,55,75,3900,
325000,2015,67738,998,3599,1495,1700,35,58,77,3900,
325000,2014,58000,998,3599,1495,1700,35,58,77,3900,
325000,2013,53000,1198,3970,1682,1453,45,74,110,3900,
325000,2013,15780,1197,3585,1595,1550,35,79,112.7619,3900,
325000,2013,51000,1461,4425,1695,1505,41,85,200,3900,
325000,2013,23086,1197,3775,1680,1620,43,85,113,3900,
325000,2012,68000,1197,3995,1695,1555,42,85,114,3900,
325000,2012,30000,1197,3850,1695,1530,42,85,114,3900,
325000,2014,43037,1198,3610,1680,1500,35,87,109,3900,
325000,2011,101347,1496,4265,1695,1510,45,90,132,3900,
325000,2012,118000,1586,4490,1735,1560,50,102,145,3900,
325000,2013,76000,1598,3970,1682,1453,45,103,250,3900,
325000,2010,56000,1497,4420,1695,1480,42,118,146,3900,
325000,2011,89000,1497,4420,1695,1480,42,118,146,3900,
328000,2018,26807,1196,3675,1475,1800,40,73,101,3936,
329000,2014,76116,998,3600,1600,1560,35,67,90,3948,
330000,2017,63200,998,3545,1490,1475,60,58,78,3960,
335000,2017,34000,1198,3995,1635,1490,35,67,104,4020,
335000,2016,64000,1186,3765,1660,1520,43,74,190,4020,
335000,2013,78301,1197,3585,1595,1550,35,79,112.7619,4020,
335000,2013,64418,1198,3610,1680,1500,35,87,109,4020,
335000,2008,140987,2987,4818,1822,1420,80,198,456,4020,
340000,2016,52303,796,3395,1490,1475,35,47,69,4080,
340000,2017,6000,1461,3805,1665,1525,41,63,160,4080,
340000,2013,66000,1197,3850,1695,1530,42,85,114,4080,
340000,2013,98500,1336,3995,1710,1505,45,89,219.744,4080,
340000,2011,109000,1794,4540,1760,1480,55,132,170,4080,
341000,2016,49000,1198,3610,1680,1500,35,87,109,4092,
345000,2019,60969,1198,3785,1635,1485,35,67,104,4140,
345000,2014,19000,998,3600,1600,1560,35,67,90,4140,
345000,2017,72019,998,3599,1495,1700,35,67,90,4140,
345000,2016,49857,998,3599,1495,1700,35,67,90,4140,
345000,2016,73190,998,3599,1495,1700,35,67,90,4140,
345000,2016,71000,1120,3765,1660,1520,43,70,160,4140,
345000,2015,70000,1498,3971,1682,1469,45,89,230,4140,
345000,2007,92000,1995,4470,1810,1695,66,120,170,4140,
350000,2013,45000,998,3539,1495,1700,35,68,90,4200,
350000,2012,55000,998,3539,1475,1700,35,68,90,4200,
350000,2014,111000,1199,3970,1682,1453,45,74,180,4200,
350000,2011,21000,1197,3585,1595,1550,35,79,112.7619,4200,
350000,2013,34000,1197,3775,1695,1510,45,80,104,4200,
350000,2012,85000,1498,4320,1764,1486,40,89,204,4200,
350000,2014,110000,1498,3990,1680,1505,35,99,200,4200,
350000,2013,78000,1598,4384,1699,1466,55,103,250,4200,
350000,2012,130000,1598,4386,1699,1466,55,105,250,4200,
351000,2013,42000,1248,3995,1695,1555,42,74,190,4212,
351000,2014,39276,1198,3610,1680,1500,35,87,109,4212,
355000,2020,40000,796,3395,1490,1475,35,47,69,4260,
355000,2014,68005,1197,3850,1695,1530,42,85,114,4260,
360000,2015,16205,998,3515,1550,1510,32,68,94,4320,
360000,2013,92000,1461,4425,1695,1505,41,85,200,4320,
360000,2013,95610,1336,3995,1710,1505,45,89,219.744,4320,
360000,2013,58000,1598,4384,1699,1466,55,103,153,4320,
365000,2014,75693,998,3599,1495,1700,35,58,77,4380,
365000,2019,32000,999,3679,1579,1478,28,67,91,4380,
365000,2015,20100,998,3545,1490,1475,35,67,90,4380,
365000,2013,78000,1199,3970,1682,1453,45,74,180,4380,
365000,2014,76000,1197,3765,1660,1520,43,81,114,4380,
365000,2013,68000,1197,3850,1695,1530,42,85,114,4380,
365000,2014,31000,1198,3610,1680,1500,35,87,109,4380,
365000,2010,58424,1497,4420,1695,1480,42,118,146,4380,
365000,2009,90000,2179,4430,1817,1975,60,120,290,4380,
369000,2017,16800,998,3545,1490,1475,35,67,90,4428,
370000,2019,47377,998,3545,1490,1475,60,58,78,4440,
370000,2015,64000,998,3545,1490,1475,35,67,90,4440,
370000,2013,41000,1197,3585,1595,1550,35,79,112.7619,4440,
375000,2019,55000,799,3679,1579,1478,28,53,72,4500,
375000,2015,64000,998,3599,1495,1700,35,58,77,4500,
375000,2018,14000,999,3679,1579,1478,28,67,91,4500,
375000,2017,45000,999,3679,1579,1478,28,67,91,4500,
375000,2014,35000,998,3600,1600,1560,35,67,90,4500,
375000,2011,120000,1248,3850,1695,1530,42,74,190,4500,
375000,2013,39000,1198,3970,1682,1453,45,74,110,4500,
375000,2014,71000,1248,3987,1687,1495,45,75,197,4500,
375000,2013,34000,1197,3585,1595,1550,35,79,112.7619,4500,
375000,2015,87500,1197,3765,1660,1520,43,81,114,4500,
375000,2013,29135,1197,3995,1710,1505,45,83,113,4500,
375000,2018,48144,1199,3992,1677,1537,35,84,114,4500,
375000,2016,35134,1198,3610,1680,1500,35,87,109,4500,
375000,2012,82000,1336,3995,1710,1505,45,89,219.744,4500,
375000,2012,80350,1497,4440,1695,1485,42,116,146,4500,
375000,2013,86000,1497,4440,1695,1485,42,116,146,4500,
375000,2011,78000,1497,4420,1695,1480,42,118,146,4500,
375000,2011,77000,1794,4540,1760,1480,55,132,170,4500,
375000,2013,97000,2179,4655,1965,1922,55,138,320,4500,
379000,2018,29434,1047,3746,1647,1535,35,69,140,4548,
380000,2018,68320,998,3599,1495,1700,35,58,77,4560,
380000,2016,70000,998,3636,1475,1670,35,67,90,4560,
380000,2013,57000,1197,3585,1595,1550,35,79,112.7619,4560,
380000,2015,55660,1197,3765,1660,1520,43,81,114,4560,
380000,2013,35000,1461,4425,1695,1505,41,85,200,4560,
380000,2012,53000,1591,4370,1700,1475,43,121,158,4560,
385000,2013,65000,1198,3970,1682,1453,45,74,110,4620,
385000,2013,79287,1197,3995,1710,1505,45,83,113.796,4620,
385000,2014,46000,1197,3995,1710,1505,45,83,113.796,4620,
385000,2013,72000,1461,4331,1822,1671,50,84,200,4620,
385000,2011,69000,1197,3850,1695,1530,42,85,114,4620,
385000,2013,72567,1498,3990,1680,1505,35,99,200,4620,
385000,2011,73000,1591,4370,1700,1475,43,121,158,4620,
390000,2019,56000,796,3395,1490,1475,35,47,69,4680,
390000,2018,47874,999,3679,1579,1478,28,67,91,4680,
390000,2018,18000,998,3545,1490,1475,35,67,90,4680,
390000,2014,49580,998,3600,1600,1560,35,67,90,4680,
390000,2015,70000,998,3600,1600,1560,35,67,90,4680,
390000,2015,43297,998,3599,1495,1700,35,67,90,4680,
390000,2018,66794,998,3599,1495,1700,35,67,90,4680,
390000,2014,81000,1120,3995,1660,1520,43,71,180,4680,
390000,2015,49123,1197,3585,1595,1550,35,79,112.7619,4680,
390000,2014,57000,1197,3765,1660,1520,43,81,114,4680,
390000,2014,46000,1197,3765,1660,1520,43,81,114,4680,
390000,2014,67000,1198,3990,1680,1505,35,87,109,4680,
390000,2013,62000,1461,4618,1813,1488,67,108,240,4680,
390000,2009,68195,1794,4540,1760,1480,55,132,170,4680,
391000,2017,24000,998,3600,1600,1560,35,67,90,4692,
395000,2018,75500,999,3679,1579,1478,28,67,91,4740,
395000,2014,47884,998,3600,1600,1560,35,67,90,4740,
395000,2016,28000,1197,3585,1595,1550,35,79,112.7619,4740,
395000,2017,46992,1199,3746,1647,1535,35,84,114,4740,
395000,2014,44527,1198,3990,1680,1505,35,87,109,4740,
399000,2014,74000,1197,3995,1660,1520,43,81,114,4788,
399000,2018,38000,1197,3765,1660,1520,43,81,114,4788,
399000,2013,54000,1498,3999,1765,1708,52,89,204,4788,
399000,2014,88000,1598,4384,1699,1466,55,103,153,4788,
400000,2016,67850,998,3599,1495,1700,35,58,77,4800,
400000,2017,43000,998,3599,1495,1700,35,58,77,4800,
400000,2019,22000,998,3545,1490,1475,35,67,90,4800,
400000,2014,64000,1248,3995,1695,1555,42,74,190,4800,
400000,2015,65000,1248,3995,1695,1555,42,74,190,4800,
400000,2017,35000,1197,3765,1660,1520,43,81,114,4800,
400000,2018,91460,1199,3746,1647,1535,35,84,114,4800,
400000,2016,50000,1199,3955,1694,1544,40,89,110,4800,
400000,2015,41273,1495,4250,1670,1370,45,94,125,4800,
400000,2013,76000,1497,4440,1695,1485,42,116,146,4800,
400000,2014,78000,2179,4430,1817,1975,60,120,290,4800,
400000,2013,71000,1582,4370,1700,1475,43,126,260,4800,
400000,2011,80000,1991,4597,1788,1477,60,150,327,4800,
405000,2018,34000,814,3495,1550,1500,32,55,75,4860,
409000,2018,27069,1199,3746,1647,1535,35,84,114,4908,
409999,2021,13424,796,3445,1515,1475,35,47,69,4919.988,
409999,2015,54443,998,3600,1600,1560,35,67,90,4919.988,
409999,2019,32000,1086,3610,1645,1560,35,68,99,4919.988,
409999,2015,112000,1248,3850,1695,1530,42,74,190,4919.988,
409999,2014,55000,1197,3765,1660,1520,43,81,114,4919.988,
409999,2014,55000,1197,3850,1695,1530,42,85,114,4919.988,
409999,2014,20000,1197,3850,1695,1530,42,85,114,4919.988,
412000,2016,41058,998,3600,1600,1560,35,67,90,4944,
415000,2015,42500,998,3599,1495,1700,35,58,77,4980,
415000,2014,57402,1197,3995,1695,1555,42,85,114,4980,
415000,2014,70000,1461,4315,1822,1695,50,108,248,4980,
415000,2014,62000,1582,4370,1700,1475,43,126,260,4980,
416000,2014,60116,998,3600,1600,1560,35,67,90,4992,
419000,2017,23700,799,3679,1579,1478,28,53,72,5028,
420000,2017,43000,999,3679,1579,1478,28,67,91,5040,
421000,2017,69000,1197,3995,1695,1555,42,83,115,5052,
422000,2018,12768,1196,3675,1475,1800,40,73,101,5064,
425000,2021,38848,998,3565,1520,1564,27,67,90,5100,
425000,2019,53241,998,3565,1520,1564,27,67,90,5100,
425000,2020,7520,999,3429,1560,1541,28,67,91,5100,
425000,2017,41624,998,3695,1600,1560,35,67,90,5100,
425000,2018,18000,998,3599,1495,1700,35,67,90,5100,
425000,2017,39000,1248,3995,1706,1570,44,74,190,5100,
425000,2013,26000,1248,3850,1695,1530,42,74,190,5100,
425000,2015,36528,1248,3850,1695,1530,42,74,190,5100,
425000,2014,89000,1248,3995,1695,1555,42,74,190,5100,
425000,2016,52600,1198,3971,1682,1469,45,74,110,5100,
425000,2015,48000,1197,3765,1660,1520,43,81,114,5100,
425000,2015,11628,1197,3995,1660,1520,43,81,114,5100,
425000,2015,75000,1461,4315,1822,1695,50,84,200,5100,
425000,2014,74000,1461,4331,1822,1671,50,84,200,5100,
425000,2015,80000,1197,3850,1695,1530,42,85,114,5100,
425000,2014,53610,1198,3990,1680,1505,35,87,109,5100,
425000,2014,58600,1198,3990,1680,1505,35,87,109,5100,
425000,2012,78000,1248,4265,1695,1685,45,89,200,5100,
425000,2014,75000,1498,4440,1695,1495,40,99,200,5100,
425000,2013,79500,1498,3990,1680,1505,35,99,200,5100,
425000,2014,75000,1498,3990,1680,1505,35,99,200,5100,
425000,2013,57000,1598,4386,1699,1466,55,103,153,5100,
425000,2014,24000,1598,4386,1699,1466,55,104,153,5100,
425000,2014,72000,1461,4315,1822,1695,50,108,248,5100,
425000,2012,70000,1582,4370,1700,1475,43,126,260,5100,
425000,2013,96000,2179,4655,1965,1922,55,138,320,5100,
426999,2020,41669,999,3679,1579,1478,28,67,91,5123.988,
430000,2016,26600,998,3599,1495,1700,35,58,77,5160,
430000,2020,5790,998,3565,1520,1564,27,67,90,5160,
430000,2019,57993,998,3545,1490,1475,35,67,90,5160,
430000,2014,59000,1197,3995,1695,1555,42,85,114,5160,
430000,2015,98112,1598,4384,1699,1466,55,103,153,5160,
434000,2017,50000,998,3715,1635,1565,35,67,90,5208,
434999,2019,32000,799,3679,1579,1478,28,53,72,5219.988,
434999,2019,34400,1086,3610,1645,1560,35,68,99,5219.988,
434999,2017,27000,1186,3995,1660,1520,43,74,190,5219.988,
434999,2015,32545,1197,3895,1735,1555,45,79,104,5219.988,
434999,2017,23000,1196,3995,1695,1525,42,87,112,5219.988,
434999,2014,50000,1199,3990,1680,1505,35,89,110,5219.988,
434999,2014,79081,1598,4384,1699,1466,55,103,250,5219.988,
434999,2013,117000,2179,4430,1817,1975,60,120,290,5219.988,
436000,2014,37959,1197,3765,1660,1520,43,79,112,5232,
440000,2016,53807,1197,3850,1695,1530,42,83,115,5280,
440000,2016,50374,1198,3610,1680,1500,35,87,109,5280,
445000,2015,67580,998,3599,1495,1700,35,58,77,5340,
445000,2018,71000,998,3600,1600,1560,35,67,90,5340,
445000,2018,65555,1186,3995,1660,1520,43,74,190,5340,
445000,2016,22402,1197,3765,1660,1520,43,81,114,5340,
445000,2014,75000,1461,4331,1822,1671,50,84,200,5340,
445000,2016,63882,1198,3990,1680,1505,35,87,109,5340,
445000,2014,38985,1498,3998,1765,1647,52,99,205,5340,
445000,2012,111000,1497,4440,1695,1485,42,116,146,5340,
449000,2019,3583,796,3445,1515,1475,35,47,69,5388,
449000,2018,53512,1199,3746,1647,1535,35,84,114,5388,
450000,2014,48000,998,3695,1600,1560,35,67,90,5400,
450000,2018,43000,998,3636,1475,1670,35,67.7,90,5400,
450000,2018,32000,1196,3675,1475,1800,40,73,101,5400,
450000,2014,75000,1248,3995,1695,1555,42,74,190,5400,
450000,2016,53300,1197,3765,1660,1520,43,81,114,5400,
450000,2016,47000,1197,3765,1660,1520,43,81,114,5400,
450000,2016,45000,1197,3850,1695,1530,42,83,115,5400,
450000,2017,75000,1197,3995,1695,1555,42,83,115,5400,
450000,2014,23000,1197,3995,1710,1505,45,83,113.796,5400,
450000,2017,65000,1197,3850,1695,1530,42,83,115,5400,
450000,2016,48200,1197,3850,1695,1530,42,83,115,5400,
450000,2014,85000,1461,4331,1822,1671,50,84,200,5400,
450000,2014,52000,1197,3995,1695,1555,42,85,114,5400,
450000,2015,52000,1197,3995,1695,1555,42,85,114,5400,
450000,2016,44613,1498,3995,1695,1525,40,99,215,5400,
450000,2016,2000000,1461,4315,1822,1695,50,108,248,5400,
450000,2013,61000,1497,4440,1695,1485,42,116,146,5400,
450000,2014,48409,1497,4440,1695,1495,40,117,145,5400,
450000,2011,95000,2179,4430,1817,1975,60,120,290,5400,
450000,2011,95000,1794,4540,1760,1480,55,132,170,5400,
451000,2017,55000,1120,3995,1660,1520,43,71,180,5412,
455000,2015,69700,1197,3765,1660,1520,43,79,112,5460,
455000,2014,30183,1197,3995,1695,1555,42,85,114,5460,
455000,2014,50000,1499,3999,1765,1708,52,109,140,5460,
459999,2018,22541,999,3679,1579,1478,28,67,91,5519.988,
459999,2016,82844,1186,3765,1660,1520,43,74,190,5519.988,
459999,2015,55000,1248,3995,1695,1555,42,74,190,5519.988,
459999,2016,61223,1197,3765,1660,1520,43,81,114,5519.988,
459999,2013,77000,1248,4265,1695,1685,45,89,200,5519.988,
459999,2013,78000,1582,4370,1700,1475,43,126,260,5519.988,
465000,2019,28000,1086,3610,1645,1560,60,58,84,5580,
465000,2014,82000,1364,4265,1695,1510,45,67,170,5580,
465000,2019,19000,1086,3610,1645,1560,35,68,99,5580,
465000,2014,25704,1197,3850,1695,1530,42,85,114,5580,
465000,2014,75000,1197,3850,1695,1530,42,85,114,5580,
465000,2014,65000,1197,3995,1695,1555,42,85,114,5580,
465000,2014,29442,1198,3990,1680,1505,35,87,109,5580,
465000,2015,89000,1498,3886,1695,1525,40,99,215,5580,
470000,2020,2169,998,3565,1520,1564,27,67,90,5640,
470000,2019,11183,999,3679,1579,1478,28,67,91,5640,
470000,2016,74000,1197,3995,1695,1555,42,83,115,5640,
470000,2013,66000,1582,4370,1700,1475,43,126,260,5640,
475000,2021,7942,998,3565,1520,1564,27,67,90,5700,
475000,2019,25000,998,3695,1600,1560,35,67,90,5700,
475000,2016,55353,1248,3995,1695,1555,42,74,190,5700,
475000,2014,61866,1197,3765,1660,1520,43,79,112,5700,
475000,2016,16630,1197,3765,1660,1520,43,81,114,5700,
475000,2015,48000,1197,3995,1745,1500,37,83,115,5700,
475000,2017,34867,1199,3746,1647,1535,35,84,114,5700,
475000,2014,65000,1198,3990,1680,1505,35,87,109,5700,
475000,2015,72000,1498,4386,1683,1603,42,99,200,5700,
475000,2016,69001,1499,3999,1765,1708,52,110,140,5700,
475000,2012,40000,1497,4440,1695,1485,42,116,146,5700,
475000,2014,72900,1591,4370,1700,1475,43,121,158,5700,
475000,2014,62000,1591,4370,1700,1475,43,121,158,5700,
475000,2012,74000,1991,4660,1870,1755,65,150,320,5700,
475000,2014,73265,1998,4597,1788,1477,60,164,380,5700,
475000,2011,72000,2354,4950,1845,1475,70,178,222,5700,
480000,2021,14000,796,3395,1490,1475,35,47,69,5760,
480000,2016,85000,1248,3995,1695,1555,42,74,190,5760,
480000,2019,10265,1197,3765,1660,1520,43,81,114,5760,
